Wireless Mouse,Logitech Wireless Optical Mouse,499,50
Gaming Mouse,RGB Gaming Mouse,899,30
Mechanical Keyboard,Blue Switch Mechanical Keyboard,1999,25
Wireless Keyboard,Bluetooth Wireless Keyboard,1499,35
24 Inch Monitor,24 Inch IPS Monitor,11999,15
27 Inch Monitor,27 Inch Full HD Monitor,15999,10
Laptop Stand,Aluminium Laptop Stand,799,40
Adjustable Laptop Stand,Foldable Adjustable Laptop Stand,999,30
USB Type C Cable,1 Meter Type C USB Cable,299,100
USB Lightning Cable,Lightning Fast Charging Cable,399,80
HD Webcam,1080P USB Webcam,2499,20
Wireless Headphones,Bluetooth Over Ear Headphones,3499,30
Gaming Headphones,RGB Wired Gaming Headset,2799,20
Bluetooth Speaker,Portable Bluetooth Speaker,2799,18
Power Bank,20000mAh Fast Charging Power Bank,1899,35
USB Pendrive,64GB USB 3.0 Pendrive,699,60
External Hard Disk,1TB External HDD,4299,12
Internal SSD,512GB SATA SSD,3599,20
DDR4 RAM,8GB DDR4 Desktop RAM,2499,22
Intel Processor,Intel Core i5 12th Gen Processor,18499,10
Gaming Motherboard,ATX Gaming Motherboard,8999,8
WiFi Router,Dual Band WiFi Router,2999,15
Gaming Router,WiFi 6 Gaming Router,4999,10
Smart Watch,Fitness Smart Watch with Heart Rate Monitor,4999,25
Fast Mobile Charger,33W USB Fast Charger,699,70
